,dddd1.drugs.i.,dddd1.a,dddd2.a,dddd3.a,dddd4.a,dddd5.a,dddd6.a,dddd7.a,dddd8.a,dddd9.a,dddd10.a,,
50,X1066,0.28659767,0.443687048,0.387324313,0.385094519,0.217293011,0.373174915,0.389819558,0.426372719,0.219483719,0.421531052,0.355037852,
51,X1067,0.400475105,0.384902491,0.284618206,0.500383858,0.411635057,0.320327199,0.154086806,0.396585089,0.226219082,0.3774192,0.345665209,
52,X1069,0.216402607,0.235858594,0.226498304,0.199560284,0.435523916,0.387663685,0.305116736,0.350690139,0.119596881,0.38056423,0.285747538,
53,X1072,0.157760039,0.288512107,0.320126023,0.111056522,0.16719743,0.250989033,0.226926782,0.081056701,0.364169663,0.303284871,0.227107917,
54,X1091,0.401177373,0.181398572,0.398463958,0.26129617,0.23727814,0.413776883,0.214373409,0.352918962,0.295025809,0.353576211,0.310928549,
55,X11,0.182576938,0.466808331,0.411831424,0.554991527,0.419120846,0.721001394,0.510690564,0.157221797,0.399546639,0.230863158,0.405465262,
56,X110,0.418649285,0.566254967,0.524296058,0.633220778,0.561043514,0.207221333,0.563743658,0.52724906,0.41878239,0.620911931,0.504137297,
57,X111,0.492357152,0.400160433,0.276772187,0.52950053,0.534753563,0.340023053,0.290230072,0.648458599,0.464045086,0.637059453,0.461336013,
58,X1129,0.358691544,0.454571485,0.17727546,0.338835953,0.538648758,0.217524871,0.385716571,0.342612126,0.343879444,0.294789763,0.345254597,
59,X1133,0.275063738,0.356697695,0.39698693,0.296451941,0.442598541,0.265470143,0.470400775,0.408347293,0.40155203,0.428256937,0.374182602,
60,X1164,0.628684876,0.568917579,0.015692564,0.233337988,0.352200842,0.349677049,0.356261144,0.30742548,0.321346779,0.566357167,0.369990147,
61,X1170,0.418445747,0.552525323,0.380969304,0.469767064,0.443045604,0.41860994,0.565406856,0.450429501,0.386247148,0.515420959,0.460086744,
62,X1175,0.518781946,0.475319631,0.358927602,0.393071919,0.352740369,0.499546617,0.451369439,0.502478816,0.503575638,0.218848724,0.42746607,
63,X119,0.290911352,0.154397278,0.34048585,0.233430701,0.16343562,0.339231661,0.039211702,0.175913087,0.152514664,0.38611823,0.227565015,
64,X1192,0.454310389,0.372716923,0.191966233,0.193232425,0.429408651,0.27048551,0.298115886,0.480102086,0.489700753,0.230307043,0.34103459,
65,X1194,0.420254331,0.369637761,0.488004094,0.45352495,0.496553353,0.418282196,0.230109663,0.348112308,0.3548385,0.497240574,0.407655773,
