From	To
ENSG00000176142	55254
ENSG00000197535	4644
ENSG00000073282	8626
ENSG00000184436	80764
ENSG00000197532	391112
ENSG00000184434	64922
ENSG00000184432	9276
ENSG00000197536	441108
ENSG00000225968	392617
ENSG00000154040	26256
ENSG00000225969	171022
ENSG00000197540	3004
ENSG00000072121	23503
ENSG00000123191	540
ENSG00000197548	10533
ENSG00000063761	57143
ENSG00000184408	3751
ENSG00000225953	150538
ENSG00000072134	22905
ENSG00000072135	26469
ENSG00000072133	27330
ENSG00000176124	10301
ENSG00000176125	402682
ENSG00000197558	23145
ENSG00000186790	2301
ENSG00000197557	92104
ENSG00000186792	8372
ENSG00000186795	338567
ENSG00000197555	26037
ENSG00000198171	65992
ENSG00000101098	140730
ENSG00000158691	9753
ENSG00000123136	10212
ENSG00000123131	10549
ENSG00000184402	26039
ENSG00000154065	147463
ENSG00000197565	1288
ENSG00000227124	100131827
ENSG00000123130	23597
ENSG00000197566	57547
ENSG00000197568	11147
ENSG00000198178	170482
ENSG00000101096	4773
ENSG00000197561	1991
ENSG00000197562	57799
ENSG00000198173	442444
ENSG00000186788	389762
ENSG00000198176	7027
ENSG00000197563	23556
ENSG00000198182	84775
ENSG00000118307	55259
ENSG00000198183	51297
ENSG00000118308	4033
ENSG00000123124	11059
ENSG00000227115	100287225
ENSG00000197579	10210
ENSG00000176102	1479
ENSG00000176101	8636
ENSG00000154059	55364
ENSG00000101084	55969
ENSG00000176105	7525
ENSG00000072110	87
ENSG00000066185	84217
ENSG00000101082	84174
ENSG00000198185	55713
ENSG00000186777	654254
ENSG00000176108	79643
ENSG00000101079	57446
ENSG00000101076	3172
ENSG00000225921	51406
ENSG00000123154	84292
ENSG00000123159	10755
ENSG00000154080	83539
ENSG00000197587	127343
ENSG00000186765	25794
ENSG00000186766	399823
ENSG00000197584	10242
ENSG00000198198	23334
ENSG00000197586	955
ENSG00000101074	140902
ENSG00000197580	83875
ENSG00000186767	139886
ENSG00000041802	55341
ENSG00000123143	5585
ENSG00000123144	79002
ENSG00000123146	976
ENSG00000188895	339287
ENSG00000154079	135154
ENSG00000029364	55334
ENSG00000029363	9774
ENSG00000197599	645811
ENSG00000197594	5167
ENSG00000118322	23120
ENSG00000197591	391189
ENSG00000101052	51098
ENSG00000198133	161145
ENSG00000198131	27300
ENSG00000159708	55282
ENSG00000198130	26275
ENSG00000185972	881
ENSG00000185973	55217
ENSG00000185974	6011
ENSG00000140307	2958
ENSG00000126803	3306
ENSG00000126804	22890
ENSG00000101057	4605
ENSG00000151062	93589
ENSG00000140323	85455
ENSG00000198146	54989
ENSG00000159714	29800
ENSG00000101040	23613
ENSG00000186732	758
ENSG00000151067	775
ENSG00000198142	65124
ENSG00000140326	146059
ENSG00000151065	196513
ENSG00000185966	353145
ENSG00000185962	353142
ENSG00000159713	51673
ENSG00000185963	23299
ENSG00000140320	22893
ENSG00000185960	6473
ENSG00000226025	400696
ENSG00000185958	121006
ENSG00000101049	10110
ENSG00000140319	6727
ENSG00000198157	79366
ENSG00000066135	9682
ENSG00000151093	54995
ENSG00000186723	26539
ENSG00000119401	22954
ENSG00000066136	4802
ENSG00000077454	4034
ENSG00000055332	5610
ENSG00000185950	8660
ENSG00000077458	143684
ENSG00000159723	181
ENSG00000176198	390442
ENSG00000159720	9114
ENSG00000185955	402573
ENSG00000176194	1149
ENSG00000185947	10308
ENSG00000126821	81537
ENSG00000185946	55599
ENSG00000126822	26030
ENSG00000151090	7068
ENSG00000186716	613
ENSG00000119403	26147
ENSG00000151092	55768
ENSG00000119402	26190
ENSG00000119408	10783
ENSG00000198162	10905
ENSG00000186710	387885
ENSG00000184492	200350
ENSG00000186714	493860
ENSG00000119411	54836
ENSG00000198168	258010
ENSG00000198169	90987
ENSG00000077463	51548
ENSG00000185940	439915
ENSG00000184497	348013
ENSG00000159733	57732
ENSG00000185942	286183
ENSG00000119414	5537
ENSG00000126814	57570
ENSG00000198160	57708
ENSG00000072182	55515
ENSG00000183751	10607
ENSG00000140350	8125
ENSG00000066117	6602
ENSG00000184489	11156
ENSG00000062650	23063
ENSG00000184486	5454
ENSG00000176177	150350
ENSG00000266433	440419
ENSG00000184481	4303
ENSG00000101017	958
ENSG00000183747	123876
ENSG00000176171	664
ENSG00000101019	55245
ENSG00000176170	8877
ENSG00000198108	337876
ENSG00000159753	146206
ENSG00000151025	57512
ENSG00000183741	23466
ENSG00000259120	100130933
ENSG00000072195	100996693
ENSG00000198105	57209
ENSG00000183742	346389
ENSG00000198104	254879
ENSG00000184478	390083
ENSG00000140368	9051
ENSG00000184471	390664
ENSG00000140367	92912
ENSG00000140365	54939
ENSG00000151023	219670
ENSG00000184470	10587
ENSG00000126838	5858
