"","x"
"2155",49
"2156",9
"2157",3
"2158",10
"2159",35
"2160",16
"2161",49
"2162",15
"2163",0
"2164",16
"2165",49
"2166",0
"2167",5
"2168",4
"2169",1
"2170",3
"2171",8
"2172",30
"2173",5
"2174",11
"2175",4
"2176",3
"2177",72
"2178",8
"2179",11
"2180",6
"2181",18
"2182",10
"2183",49
"2184",1
"2185",0
"2186",49
"2187",49
"2188",0
"2189",49
"2190",21
"2191",12
"2192",20
"2193",1
"2194",3
"2195",2
"2196",49
"2197",49
"2198",28
"2199",33
"2200",10
"2201",3
"2202",49
"2203",0
"2204",44
"2205",17
"2206",1
"2207",1
"2208",49
"2209",44
"2210",10
"2211",50
"2212",30
"2213",11
"2214",3
"2215",49
"2216",49
"2217",0
"2218",5
"2219",0
"2220",49
"2221",49
"2222",0
"2223",49
"2224",26
"2225",4
"2226",4
"2227",49
"2228",5
"2229",9
"2230",4
"2231",0
"2232",23
"2233",4
"2234",3
"2235",17
"2236",48
"2237",29
"2238",23
"2239",8
"2240",3
"2241",0
"2242",5
"2243",23
"2244",23
"2245",11
"2246",1
"2247",3
"2248",4
"2249",23
"2250",6
"2251",26
"2252",5
"2253",23
"2254",23
"2255",10
"2256",35
"2257",6
"2258",23
"2259",2
"2260",23
"2261",23
"2262",23
"2263",23
"2264",3
"2265",1
"2266",7
"2267",8
"2268",23
"2269",12
"2270",6
"2271",11
"2272",9
"2273",23
"2274",23
"2275",4
"2276",0
"2277",13
"2278",23
"2279",9
"2280",4
"2281",1
"2282",5
"2283",23
"2284",23
"2285",23
"2286",1
"2287",23
"2288",4
"2289",31
"2290",3
"2291",5
"2292",1
"2293",23
"2294",8
"2295",23
"2296",3
"2297",23
"2298",5
"2299",24
"2300",0
"2301",23
"2302",3
"2303",1
"2304",23
"2305",3
"2306",10
"2307",0
"2308",5
"2309",23
"2310",1
"2311",1
"2312",4
"2313",0
"2314",23
"2315",55
"2316",23
"2317",16
"2318",11
"2319",0
"2320",1
"2321",4
"2322",10
"2323",23
"2324",3
"2325",11
"2326",0
"2327",13
"2328",0
"2329",3
"2330",0
"2331",7
"2332",0
"2333",3
"2334",1
"2335",3
"2336",5
"2337",36
"2338",11
"2339",0
"2340",0
"2341",35
"2342",0
"2343",5
"2344",2
"2345",19
"2346",9
"2347",33
"2348",0
"2349",0
"2350",4
"2351",16
"2352",1
"2353",1
"2354",0
"2355",0
"2356",0
"2357",44
"2358",0
"2359",54
"2360",3
"2361",0
"2362",0
"2363",4
"2364",0
"2365",21
"2366",0
"2367",4
"2368",0
"2369",0
"2370",19
"2371",17
"2372",0
"2373",0
"2374",3
"2375",6
"2376",9
"2377",15
"2378",33
"2379",0
"2380",0
"2381",0
"2382",2
"2383",4
"2384",6
"2385",0
"2386",8
"2387",2
"2388",0
"2389",0
"2390",1
"2391",0
"2392",54
"2393",17
"2394",16
"2395",1
"2396",54
"2397",6
"2398",7
"2399",2
"2400",54
"2401",2
"2402",42
"2403",3
"2404",7
"2405",54
"2406",6
"2407",0
"2408",7
"2409",2
"2410",4
"2411",1
"2412",14
"2413",1
"2414",5
"2415",19
"2416",54
"2417",0
"2418",0
"2419",4
"2420",3
"2421",3
"2422",8
"2423",1
"2424",54
"2425",0
"2426",24
"2427",54
"2428",9
"2429",38
"2430",54
"2431",5
"2432",0
"2433",10
"2434",0
"2435",17
"2436",0
"2437",38
"2438",3
"2439",12
"2440",0
"2441",3
"2442",18
"2443",0
"2444",1
"2445",12
"2446",5
"2447",0
"2448",0
"2449",8
"2450",13
"2451",0
"2452",61
"2453",0
"2454",1
"2455",4
"2456",4
"2457",2
"2458",52
"2459",8
"2460",0
"2461",16
"2462",0
"2463",3
"2464",0
"2465",4
"2466",5
"2467",18
"2468",5
"2469",15
"2470",0
"2471",0
"2472",3
"2473",3
"2474",4
"2475",67
"2476",4
"2477",5
"2478",28
"2479",5
"2480",3
"2481",0
"2482",0
"2483",13
"2484",51
"2485",0
"2486",15
"2487",1
"2488",5
"2489",1
"2490",0
"2491",0
"2492",17
"2493",12
"2494",2
"2495",0
