,dddd1.drugs.i.,dddd1.a,dddd2.a,dddd3.a,dddd4.a,dddd5.a,dddd6.a,dddd7.a,dddd8.a,dddd9.a,dddd10.a,,
97,X136,0.546280466,0.568519336,0.570558723,0.582489799,0.583584721,0.571327495,0.607261617,0.51422423,0.535971034,0.572713185,0.565293061,
98,X1371,0.489187638,0.422042673,0.48163609,0.539331676,0.537927853,0.403049646,0.358185146,0.536351082,0.564624793,0.506727105,0.48390637,
99,X1372,0.34321588,0.454169574,0.125921048,0.421943329,0.320040409,0.423924416,0.423001633,0.317260234,0.329144366,0.439839,0.359845989,
100,X1373,0.291531205,0.407262786,0.360745462,0.523613225,0.419114537,0.474470051,0.304603521,0.344888128,0.49700813,0.42819959,0.405143664,
101,X1375,0.576542423,0.544178478,0.533238485,0.548480346,0.551372859,0.530742136,0.52921254,0.485913863,0.603796157,0.462208338,0.536568563,
102,X1377,0.185859576,0.192965214,0.199065352,0.178494726,0.346483568,0.348775862,0.265763042,0.244830813,0.383607854,0.294299339,0.264014534,
103,X1378,0.38684647,0.47211138,0.511251931,0.574592093,0.343871845,0.450745193,0.490162285,0.410909919,0.447206389,0.445800657,0.453349816,
104,X140,0.749341717,0.762711722,0.681579475,0.651183343,0.708963654,0.678050883,0.630206305,0.720789413,0.622511016,0.754299014,0.695963654,
105,X147,0.394745038,0.47949438,0.434013717,0.312802284,0.402401304,0.327956699,0.278558156,0.383163901,0.308465378,0.42154302,0.374314388,
106,X1494,0.436723723,0.524575757,0.317555321,0.474642659,0.422900882,0.46644622,0.528341804,0.511035407,0.595501729,0.500065338,0.477778884,
107,X1495,0.502600989,0.692714458,0.595944254,0.558703437,0.597302507,0.631590941,0.668529185,0.586751859,0.549222756,0.703165631,0.608652602,
108,X1498,0.279259172,0.138436177,0.116932922,0.210727964,0.330838885,0.207943239,0.262784263,0.222896095,0.066695905,0.201259011,0.203777364,
109,X150,0.432182136,0.696360872,0.450541186,0.58352303,0.460035091,0.424186276,0.577773437,0.547064227,0.527927751,0.477714292,0.51773083,
110,X1502,0.386451838,0.497310627,0.438137958,0.358310287,0.534531692,0.491552266,0.281217036,0.11525983,0.614894065,0.281618577,0.399928418,
111,X151,0.60824969,0.566913615,0.689519072,0.64626833,0.65351271,0.638590277,0.652511281,0.783012117,0.625740741,0.704509085,0.656882692,
